画面质量_通用增强,构图_画面组织,镜头感_视角类,光照类,细节_质感类,空间_景深_层次,氛围_情绪类,动势_视觉能量,干净度_背景控制,真实感_一致性控制,其他,天气
clean rendering,uncluttered frame,,atmospheric lighting,,,,,,,,soft key light
intricate details,coherent framing,,glowing accents,,,,,,,,soft fill light
,,,,,,,,,,,strong key light
,,,,,,,,,,,balanced key and fill
,,,,,,,,,,,low-key lighting
,,,,,,,,,,,high-key lighting
,,,,,,,,,,,soft wraparound light
,,,,,,,,,,,edge light accent
,,,,,,,,,,,kicker light accent
,,,,,,,,,,,practical lights visible
,,,,,,,,,,,light from above
,,,,,,,,,,,light from below
,,,,,,,,,,,light from the side
,,,,,,,,,,,light from behind
,,,,,,,,,,,soft gradient lighting
,,,,,,,,,,,even illumination
,,,,,,,,,,,directional spotlight
,,,,,,,,,,,broad soft light
,,,,,,,,,,,diffused skylight
,,,,,,,,,,,cloud-filtered light
,,,,,,,,,,,streetlight illumination
,,,,,,,,,,,headlight illumination
,,,,,,,,,,,window spill light
,,,,,,,,,,,reflected light
,,,,,,,,,,,bounce light
,,,,,,,,,,,bounce light
,,,,,,,,,,,glancing light
,,,,,,,,,,,soft shadows
,,,,,,,,,,,hard shadows
,,,,,,,,,,,subtle rim glow
,,,,,,,,,,,strong rim separation
,,,,,,,,,,,halo of backlight
,,,,,,,,,,,silhouette edge
,,,,,,,,,,,volumetric haze
,,,,,,,,,,,dusty air
,,,,,,,,,,,specular sheen
,,,,,,,,,,,controlled highlights
,,,,,,,,,,,no blown highlights
,,,,,,,,,,,soft reflections
,,,,,,,,,,,sparkling micro-highlights
,,,,,,,,,,,soft window
,,,,,,,,,,,soft skylight
,,,,,,,,,,,soft streetlight
,,,,,,,,,,,soft overhead lamp
,,,,,,,,,,,soft neon
,,,,,,,,,,,soft headlights
,,,,,,,,,,,soft sunlight
,,,,,,,,,,,soft diffused sky
,,,,,,,,,,,diffused window
,,,,,,,,,,,diffused skylight
,,,,,,,,,,,diffused streetlight
,,,,,,,,,,,diffused overhead lamp
,,,,,,,,,,,diffused neon
,,,,,,,,,,,diffused headlights
,,,,,,,,,,,diffused sunlight
,,,,,,,,,,,directional window
,,,,,,,,,,,directional skylight
,,,,,,,,,,,directional streetlight
,,,,,,,,,,,directional overhead lamp
,,,,,,,,,,,directional neon
,,,,,,,,,,,directional headlights
,,,,,,,,,,,directional sunlight
,,,,,,,,,,,directional diffused sky
,,,,,,,,,,,hard window
,,,,,,,,,,,hard skylight
,,,,,,,,,,,hard streetlight
,,,,,,,,,,,hard overhead lamp
,,,,,,,,,,,hard neon
,,,,,,,,,,,hard headlights
,,,,,,,,,,,hard sunlight
,,,,,,,,,,,hard diffused sky
,,,,,,,,,,,gentle window
,,,,,,,,,,,gentle skylight
,,,,,,,,,,,gentle streetlight
,,,,,,,,,,,gentle overhead lamp
,,,,,,,,,,,gentle neon
,,,,,,,,,,,gentle headlights
,,,,,,,,,,,gentle sunlight
,,,,,,,,,,,gentle diffused sky
,,,,,,,,,,,subtle window
,,,,,,,,,,,subtle skylight
,,,,,,,,,,,subtle streetlight
,,,,,,,,,,,subtle overhead lamp
,,,,,,,,,,,subtle neon
,,,,,,,,,,,subtle headlights
,,,,,,,,,,,subtle sunlight
,,,,,,,,,,,subtle diffused sky
,,,,,,,,,,,dramatic window
,,,,,,,,,,,dramatic skylight
,,,,,,,,,,,dramatic streetlight
,,,,,,,,,,,dramatic overhead lamp
,,,,,,,,,,,dramatic neon
,,,,,,,,,,,dramatic headlights
,,,,,,,,,,,dramatic sunlight
,,,,,,,,,,,dramatic diffused sky
,,,,,,,,,,,side-lit soft shadows
,,,,,,,,,,,side-lit strong contrast
,,,,,,,,,,,side-lit clean edge
,,,,,,,,,,,side-lit subtle rim
,,,,,,,,,,,backlit volumetric beams
,,,,,,,,,,,backlit hazy glow
,,,,,,,,,,,backlit sharp silhouette
,,,,,,,,,,,backlit rim outline
,,,,,,,,,,,top light soft falloff
,,,,,,,,,,,top light strong falloff
,,,,,,,,,,,top light clean highlights
,,,,,,,,,,,top light deep shadows
,,,,,,,,,,,soft ambient light
,,,,,,,,,,,soft ambient light
,,,,,,,,,,,soft ambient light
,,,,,,,,,,,soft ambient light
,,,,,,,,,,,midday sun
,,,,,,,,,,,late night atmosphere
,,,,,,,,,,,twilight haze
,,,,,,,,,,,thin cloud cover
,,,,,,,,,,,broken cloud cover
,,,,,,,,,,,dramatic cloud cover
,,,,,,,,,,,low clouds
,,,,,,,,,,,high clouds
,,,,,,,,,,,misty morning
,,,,,,,,,,,foggy evening
,,,,,,,,,,,light drizzle
,,,,,,,,,,,steady rain
,,,,,,,,,,,rain showers
,,,,,,,,,,,fresh snow
,,,,,,,,,,,blowing snow
,,,,,,,,,,,melting snow
,,,,,,,,,,,icy conditions
,,,,,,,,,,,frosty air
,,,,,,,,,,,humid air
,,,,,,,,,,,dry air
,,,,,,,,,,,heat haze
,,,,,,,,,,,cold air
,,,,,,,,,,,warm air
,,,,,,,,,,,wind gusts
,,,,,,,,,,,gentle breeze
,,,,,,,,,,,still air
,,,,,,,,,,,dusty wind
,,,,,,,,,,,sand wind
,,,,,,,,,,,post-storm
,,,,,,,,,,,before storm
,,,,,,,,,,,storm front
,,,,,,,,,,,wet pavement
,,,,,,,,,,,puddles on ground
,,,,,,,,,,,water droplets
,,,,,,,,,,,hazy daylight
,,,,,,,,,,,clear winter
,,,,,,,,,,,soft summer
,,,,,,,,,,,moonlit night
,,,,,,,,,,,cloudy night
,,,,,,,,,,,starless night
,,,,,,,,,,,bright night
,,,,,,,,,,,early morning
,,,,,,,,,,,mid-morning
,,,,,,,,,,,midday
,,,,,,,,,,,late afternoon
,,,,,,,,,,,evening
,,,,,,,,,,,late night
,,,,,,,,,,,pre-dawn
,,,,,,,,,,,clear conditions
,,,,,,,,,,,foggy conditions
,,,,,,,,,,,misty conditions
,,,,,,,,,,,snowy conditions
,,,,,,,,,,,stormy conditions
,,,,,,,,,,,rainy conditions
,,,,,,,,,,,drizzly conditions
,,,,,,,,,,,clear sky wet ground
,,,,,,,,,,,clear sky puddles
,,,,,,,,,,,clear sky haze
,,,,,,,,,,,clear sky crisp air
,,,,,,,,,,,clear sky humid air
,,,,,,,,,,,clear sky low visibility
,,,,,,,,,,,clear sky high visibility
,,,,,,,,,,,overcast sky wet ground
,,,,,,,,,,,overcast sky puddles
,,,,,,,,,,,overcast sky haze
,,,,,,,,,,,overcast sky crisp air
,,,,,,,,,,,overcast sky humid air
,,,,,,,,,,,overcast sky low visibility
,,,,,,,,,,,overcast sky high visibility
,,,,,,,,,,,light rain wet ground
,,,,,,,,,,,light rain puddles
,,,,,,,,,,,light rain haze
,,,,,,,,,,,light rain crisp air
,,,,,,,,,,,light rain humid air
,,,,,,,,,,,light rain low visibility
,,,,,,,,,,,heavy rain wet ground
,,,,,,,,,,,heavy rain puddles
,,,,,,,,,,,heavy rain haze
,,,,,,,,,,,heavy rain crisp air
,,,,,,,,,,,heavy rain humid air
,,,,,,,,,,,heavy rain low visibility
,,,,,,,,,,,heavy rain high visibility
,,,,,,,,,,,fog wet ground
,,,,,,,,,,,fog puddles
,,,,,,,,,,,fog haze
,,,,,,,,,,,fog crisp air
,,,,,,,,,,,fog humid air
,,,,,,,,,,,fog low visibility
,,,,,,,,,,,fog high visibility
,,,,,,,,,,,mist wet ground
,,,,,,,,,,,mist puddles
,,,,,,,,,,,mist haze
,,,,,,,,,,,mist crisp air
,,,,,,,,,,,mist humid air
,,,,,,,,,,,mist low visibility
,,,,,,,,,,,mist high visibility
,,,,,,,,,,,snow wet ground
,,,,,,,,,,,snow puddles
,,,,,,,,,,,snow haze
,,,,,,,,,,,snow crisp air
,,,,,,,,,,,snow humid air
,,,,,,,,,,,snow low visibility
,,,,,,,,,,,snow high visibility
,,,,,,,,,,,wind wet ground
,,,,,,,,,,,wind puddles
,,,,,,,,,,,wind haze
,,,,,,,,,,,wind crisp air
,,,,,,,,,,,wind humid air
,,,,,,,,,,,wind low visibility
,,,,,,,,,,,wind high visibility
,,,,,,,,,,,storm clouds wet ground
,,,,,,,,,,,storm clouds puddles
,,,,,,,,,,,storm clouds haze
,,,,,,,,,,,storm clouds crisp air
,,,,,,,,,,,storm clouds humid air
,,,,,,,,,,,drizzle wet ground
,,,,,,,,,,,drizzle puddles
,,,,,,,,,,,drizzle haze
,,,,,,,,,,,drizzle crisp air
,,,,,,,,,,,drizzle humid air
,,,,,,,,,,,drizzle low visibility
,,,,,,,,,,,drizzle high visibility
,,,,,,,,,,,after rainfall
,,,,,,,,,,,after snowfall
,,,,,,,,,,,after storm
,,,,,,,,,,,after shower
,,,,,,,,,,,after wind calms
,,,,,,,,,,,before sunrise
,,,,,,,,,,,before sunset
,,,,,,,,,,,before storm hits
,,,,,,,,,,,before nightfall
