Building_Related,Scene_Related,Animal,Daily_Item,Vehicle,Tool_Equipment,Food_Drink,画面质量_通用增强,构图_画面组织,镜头感_视角类,光照类,细节_质感类,空间_景深_层次,氛围_情绪类,动势_视觉能量,干净度_背景控制,真实感_一致性控制,People_Related,Plant_Related,Event_Culture,Brand_Model,Science_Tech,Abstract_Concept,Sports_Activity
Listed building,Closet,Cattle,Cowboy hat,Snowmobile,Surfboard,Muffin,balanced composition,dynamic composition,medium framing,delicate light falloff,nuanced texture,layered spatial structure,intimate mood,gentle motion,clear silhouette,consistent material response,Hair,Willow,Martin Luther King Jr. Day,Ford model t,Electronic signage,Mohawk hairstyle,Windsports
Building sand castles,Towel,Camel,Sun hat,Motorcycle,Drill,Tart,professional finish,stable composition,cinematic perspective,rim lighting,layered details,clear foreground and background,restrained mood,dynamic tension,strong separation,grounded composition,Hand,Azalea,Christmas cracker,Ford anglia,Electronic component,Flying disc freestyle,Datsun sports
Bodybuilding,Tower,Cat,Sombrero,Train,Stationary bicycle,Cookie,high fidelity,visual hierarchy,depth-aware composition,backlighting,subtle surface variation,depth-enhanced scene,peaceful ambiance,lively composition,subject emphasis,,Foot,Camomile,Valentine's day,Boeing,Structural biology,Media,Underwater sports
Medieval architecture,Countertop,Dolphin,Scarf,Plane,Wrench,Popcorn,clear focus,negative space,Triangle,front lighting,Composite material,,Atmosphere of earth,Cauliflower,Tidy tips,,Arm,Plantation,Bastille day,Boeing 2707,Chemical tanker,Brother thelonious belgian style abbey ale,Ssangyong musso sports
Capsule hotel,Dining table,Fox,Coat,Helicopter,Hammer,Pretzel,well-defined forms,well-structured scene,Wide-body aircraft,side lighting,Road surface,,Atmosphere,Flowering dogwood,Isolated Mountain Hut,,Leg,Narcissus,Sunday roast,Boeing e-6 mercury,Optoelectronics,Singapore-style noodles,Hiking boot
Apartment,Fireplace,Giraffe,Jacket,Cart,Ratchet,French fries,strong visual clarity,natural arrangement,Interview,volumetric light,Material,,,Coneflower,,,Beard,Tuber,President's day,Northrop t-38 talon,Electronic tuner,Napoleon iii style,Sports commentator
Maritime museum,Home appliance,Goat,Shirt,Vehicle registration plate,Paddle,Hot dog,clean rendering,uncluttered frame,Tangle-web spider,atmospheric lighting,Ford contour,,,Passion flower,,,Media player,Poinsettia,Victoria day,Ford maverick,Electronic tanpura,Freestyle wrestling,Austin a40 sports
Byzantine architecture,Kitchen,Goldfish,Dress,Submarine,Flashlight,Fast food,intricate details,coherent framing,Mountain view cur,glowing accents,Transparent material,,,Energy drink,,,National sovereignty and children's day,Cucurbita,Birthday,Boeing 767,Electronics accessory,Multimedia,Sports sedan
Police officer,Kitchen appliance,Horse,Miniskirt,Segway,Light switch,Snack,Burger king premium burgers,delicate balance,Close-up,Ultralight aviation,Building material,,,Purple coneflower,,,Manx,Poker primrose,New year's eve,Boeing b-52 stratofortress,Portable electronic game,Online advertising,Stick and Ball Sports
House gecko,Kitchen utensil,Panda,Skirt,Tank,Printer,Food,Crispy fried chicken,Ford focus,California spangled,Flight,Surface lure,,,Leg extension,,,Birman,Plant pathology,International women's day,Boeing p-26 peashooter,,Chevrolet styleline,Aston martin 2-litre sports
Church,Kitchenware,Rhinoceros,Shorts,Truck,Computer keyboard,Fruit,Crisp bread,Balance,Mitsuoka viewt,Light meter,Explosive material,,,Mayflower,,,Firefighter,Aquatic plant,Canada day,Boeing 747,,Freestyle bmx,Sports
Japanese architecture,Flying disc,Harbor seal,Swimwear,Wheel,Computer monitor,Winter melon,Crisp,Ford focus rs,Jeep wrangler,Flight attendant,Material property,,,Hype energy,,,Bodyguard,Lily family,Mid-autumn festival,Ford cortina,,California-style pizza,Air sports
House finch,Living room,Magpie,Suit,Auto part,Laptop,Juice,Apple crisp,Ford focus rs wrc,Bangle,Lighting,Texture,,,Jade flower,,,Performance art,Silver Maple,Flag Day,Pontiac gto,,Freestyle skiing,Individual sports
Coffeehouse,Office supplies,Tick,Brassiere,Rocket,Headphones,Coffee,Honda fcx clarity,Framing hammer,Wrangler,Light cruiser,Surface effect ship,,,Large-flowered cactus,,,Tractor,Black maple,Christmas,Ford sierra,,Freestyle football,Disabled sports
Operating theater,Porch,Carnivore,Sock,Airplane,Cassette deck,Beer,Laelia crispa,Musical composition,Angle grinder,Shadow,Natural material,,,Pincushion flower,,,Portuguese man o' war,Maple sugar,Victory day,Staffordshire bull terrier,,Freestyle motocross,Indoor games and sports
Workhouse,Scissors,Penguin,Tie,Seat belt,Organ,Cocktail,,Ford focus electric,Rear-view mirror,Lighter,Packing materials,,,Energy bar,,,Fairchild republic a-10 thunderbolt ii,Lemongrass,Easter monday,Boeing b-17 flying fortress,,Hairstyle,Endurance sports
Water castle,Shower,Dinosaur,Suitcase,Unicycle,Banjo,Drink,,,Great Spangled Fritillary,Flight engineer,Surface water sports,,,Energy,,,Student,Grassland,One day international,Ford,,Slopestyle,Net sports
Brutalist architecture,Sink,Isopod,Cosmetics,Van,Bow and arrow,Guacamole,,,Bird's-eye view,Eye shadow,Lunar Surface,,,Broccoflower,,,Human eye,Nuclear power plant,Christmas pudding,Citroën c3,,Multimedia projector,Naked hiking
Hutch,studio couch,Marine invertebrates,Boot,Tire,Cello,Burrito,,,Anglerfish,Light aircraft carrier,,,,Triumph mayflower,,,Factory,Rose hip,Day of arafat,Citroën ds,,Blank media,Zil-112 sports
Bounce house,Toilet,Hamster,Cream,Car,Cannon,Squash,,,Closed blue gentian,Track lighting,,,,Flannel flower,,,Adult,Herbaceous plant,Day,Ford crown victoria,,Multimedia software,Bentley continental supersports
Eastern orthodox church architecture,Window,Insect,Goggles,Taxi,Nail,Dessert,,,Wide Sawfish,Light commercial vehicle,,,,Eyelash extensions,,,Cowboy,Coconut oil,Lantern festival,Ford f-550,,,Sports toy
Churchkhela,Window blind,Invertebrate,Roller skates,Canoe,Hiking equipment,Asparagus,,,Automotive side-view mirror,Aquarium lighting,,,,Orange flower water,,,Singer-songwriter,Ebony trees and persimmons,White day,Citroën saxo,,,Sports collectible
House Wren,Tent,Jaguar,Personal care,Aerial vehicle,Drum,Peach,,,Rectangle,Lightning gt,,,,Flowering tea,,,Dvd player,Tree planting,Holy saturday,Citroën c2,,,Sports jersey
Marine architecture,Wood-burning stove,Kangaroo,Face powder,Vespa,Dagger,Common fig,,,Wide leaved spring beauty,Dodge shadow,,,,Laceflower,,,B-boying,Ptelea trifoliataHoptree,Daytime,Boeing 787 dreamliner,,,Autographed sports paraphernalia
Hotel manager,Lantern,Koala,Baseball glove,Ocarina,Tin can,Artichoke,,,Rainforest Canopy View,Lockheed martin f-35 lightning ii,,,,Elderflower cordial,,,Boysenberry,Tree anemone,Daydream,Boeing c-40 clipper,,,Hiking shoe
Sugar house,Convenience store,Lynx,Sandal,Sports car,Ski,Milk,,,Rocky Plateau View,Christmas lights,,,,Emotion,,,Gentleman,Daylily,Dodge daytona,Ford windstar,,,Sports gear
Outhouse,Crosswalk Sign,Lizard,Bicycle helmet,Hospital ship,Barrel,Baked goods,,,Elevated Train View,Turkish delight,,,,Bellflower,,,Mandarin orange,Maple leaf,Christmas Orchid,Ford galaxie,,,Animal sports
Love hotel,Mug,Mammal,Fashion accessory,Businessperson,Treadmill,Mushroom,,,,Flightless bird,,,,Parrot flower,,,Cd player,Non-vascular land plant,Dodge charger daytona,Ford torino,,,Kite sports
Almshouse,Coffee cup,Mouse,Swim cap,Christmas carol,Guitar,Potato,,,,Moonlight,,,,Pasqueflower,,,Grumman c-2 greyhound,Plant stem,Independence day,Ford ranchero,,,Precision sports
Churchill tank,Parking meter,Polar bear,Crutch,Sodium bicarbonate,Baseball bat,Pasta,,,,Grevillea 'moonlight',,,,Passion flower family,,,Batman,Land plant,Christmas stocking,Ford prefect,,,Weapon combat sports
Warehouse,Teapot,Ostrich,Briefcase,Supercar,Harp,Pumpkin,,,,Safelight,,,,General dynamics f-16 fighting falcon,,,Chapman stick,American Tree Sparrow,Holiday,Ford aspire,,,Striking combat sports
Aircraft cabin,Sidewalk,Pig,Hair spray,Training,Harpsichord,Pear,,,,Nightlight,,,,Safflower,,,Northrop grumman b-2 spirit,American rosefinches,Gasparilla pirate festival,Boeing c-17 globemaster iii,,,Water & Ball Sports
Clock tower,Mixing bowl,Raven,Lipstick,Aircraft engine,Harmonica,Pizza,,,,Bicycle lighting,,,,5-hour energy,,,Manicure,Triplet lily,Ekmek kadayıfı,"Ford model b, model 18, & model 40",,,Wall & ball sports
Field house,Street Lights,Red panda,High heels,Carbon,Scale,Seafood,,,,Buddha's delight,,,,Blue cardinal flower,,,Supersonic transport,Rose breasted Grosbeak,Labour day,Ford laser,,,sports ball
Penthouse apartment,Cutting board,Rabbit,Trousers,Jet aircraft,Punching bag,Submarine sandwich,,,,Light,,,,Wildflower,,,Northrop Grumman,Ice plant,Ferrari daytona,Ford telstar,,,
Warehouseman,Surveillance Camera,Squirrel,Football helmet,Airbus a320 family,Golf ball,Sushi,,,,Light-emitting diode,,,,Flower girl,,,Person,Ice plant family,Shelby daytona,Ford meteor,,,
Bell tower,Spatula,Scorpion,Handbag,Airbus a330,Bottle,Tea,,,,Emergency light,,,,Bellflower family,,,Mannequin,American Tree Creeper,Christmas ornament,Ford mondeo,,,
Temple fade,Traffic sign,Snake,Footwear,Airbus,Dumbbell,Taco,,,,Jaguar advanced lightweight coupe concept,,,,Prairie pasqueflower,,,Performance,Giant white arum lily,Republic day of turkey,Ford falcon,,,
Log cabin,Ladle,Sheep,Diaper,Shadbush,Horn,Strawberry,,,,Studebaker starlight,,,,Dayflower,,,Artistic gymnastics,Burnet rose,Christmas elf,Ford scorpio,,,
Dollhouse,Traffic cone,Tiger,Jeans,Recumbent bicycle,Billiard table,Tomato,,,,Lockheed p-38 lightning,,,,Extension cord,,,Human Torch,Barking Tree Frog,Honda today,Pontiac sunfire,,,
House fly,Whisk,Fish,Watch,Christmas card,Musical instrument,Cooking spray,,,,Rolls-royce silver shadow,,,,Monkey-flower,,,Invisiable Woman,Blackberry lily,Saint george's day,Ford country squire,,,
Chute,Traffic light,Worm,Sports uniform,Mg cars,Snowplow,Wine,,,,Sunlight,,,,Flower beetles,,,Tradesman,Audi rosemeyer,Black awareness day,Ford freestar,,,
Cooling tower,Can opener,Whale,Umbrella,Caraway,Missile,Bread,,,,Automotive lighting,,,,Woodland sunflower,,,Mole salamander,China rose,Christmas decoration,Ford festiva,,,
Manor house,Beach,Squid,Glasses,Viking ships,Mobile phone,Lemon,,,,Lighter aboard ship,,,,Night-flowering jasmine,,,Tiger salamander,Prickly rose,New year,Boeing 747-400,,,
China cabinet,Toaster,Zebra,Crown,Ferris wheel,Musical keyboard,Banana,,,,Lamplighter,,,,Flowering plant,,,Giant salamander,Sego lily,First Day of Passover,Acura tsx,,,
Roman temple,Garden Asparagus,Monkey,Perfume,Steamboat,Scoreboard,Hamburger,,,,Security lighting,,,,Sunflower butter,,,Blue-collar worker,Toothache plant,Palm sunday,Boeing c-137 stratoliner,,,
Ancient greek temple,Blender,Lion,Wheelchair,Ground attack aircraft,Table tennis racket,Ice cream,,,,Light aircraft,,,,Gilliflower,,,White-collar worker,Peruvian lily,World book day,Ford landau,,,
Transmission tower,Garden,Chicken,Helmet,Airbus a380,Tennis ball,Orange,,,,Moonlight cactus,,,,Twinflower,,,Human positions,Primrose family,Buddha's birthday,Citroën type c,,,
Household hardware,Slow cooker,Eagle,Luggage & bags,Escarpment,Oboe,Vegetable,,,,Ford lightning,,,,Woolflowers,,,International student,Chastetree,Dayereh,Ford falcon cobra,,,
Housekeeping,Grass,Owl,Dr. Manhattan,Friendship,Piano,Shellfish,,,,Studebaker flight hawk,,,,Serbian bellflower,,,Mandola,Multiflora rose,Pi day,Pontiac g8,,,
Toll house,Oven,Duck,Toothpaste,Ballistic missile submarine,Sports equipment,Cabbage,,,,Light fixture,,,,Energy shot,,,Human hair color,Rose of Sharon,First Day of Ramadan,Citroën c-airdream,,,
Architecture,Lawn,Turtle,T-shirt,Shopping cart,Snowboard,Carrot,,,,Landscape lighting,,,,Dayflower family,,,Mangaka,Woody plant,International kissing day,Ford transcontinental,,,
Shuttle tanker,Gas stove,Hippopotamus,Motorcycle helmet,Flagship,Skateboard,Dairy,,,,Aai rq-7 shadow,,,,Moonflower,,,Pin-up girl,Umbrella tree,Republic day,Ford ba falcon,,,
Hotel,Park,Crocodile,Baking powder,Carpenter,Rifle,Mango,,,,Studebaker light six,,,,Tall bellflower,,,Volkswagen karmann ghia,Western red lily,Labor Day,Citroën ax,,,
Theatre,Washing machine,Spider,Hatchback,Battleship,Saxophone,Pineapple,,,,Under-cabinet lighting,,,,Globe flower,,,Chef,Shining willow,Indian independence day,Citroën visa,,,
Office equipment,Playground,Deer,Hatmaking,Cardigan,Shotgun,Cake,,,,Incandescent light bulb,,,,White egret flower,,,Romance,Virginia Rose,St. martin's day,Citroën gs,,,
House numbering,Plumbing fixture,Frog,Powdered sugar,Boeing b-47 stratojet,Sword,Honeycomb,,,,Coca-cola light sango,,,,Purple passionflower,,,Romance novel,Evening primrose,Christmas dinner,Ford five hundred,,,
Video game arcade cabinet,Sand,Oyster,Baby bottle,Bicycle frame,Tripod,Candy,,,,Lighthouse keeper,,,,Mana energy potions,,,Girl scouts of the usa,Blue eyed grass,Mother's day,Pontiac g6,,,
Chinese architecture,Bidet,Ant,Sour cream,Victory ship,Stethoscope,Salad,,,,Lightning,,,,Fennel flower,,,Elvis impersonator,Pine Woods Treefrog,Father's day,Ford bf falcon,,,
Church bell,Sea,Dog,American frontier,Savanna,Television,Broccoli,,,,Floodlight,,,,Balloon flower,,,Mantis shrimp,Green-eyed tree frog,Australia day,Pontiac solstice,,,
Naval officer,Tap,Elephant,New World porcupine,Train conductor,Trombone,Pastry,,,,Light bulb,,,,Solar energy,,,Aquaman,Western pussy willow,April fool's day,Ford köln,,,
Music library,Snow,Shark,Hatter,Douglas Aircraft Company,Telephone,Grapefruit,,,,Video camera light,,,,Four o'clock flower,,,Doctor Octopus,Seed plant,Anzac day,Ford au falcon,,,
Soccer-specific stadium,Fire hydrant,Leopard,Hard hat,Bustard,Torch,Bell pepper,,,,Automotive fog light,,,,Artificial flower,,,Purple mangosteen,Tuberose,Memorial day,Ford airstream,,,
Eco hotel,Swimming pool,Porcupine,Flat-coated retriever,Memory card,Trumpet,Pomegranate,,,,Automotive interior lighting,,,,Spurflowers,,,Man-of-war,Perennial plant,Good friday,Ford eifel,,,
Mosque,Water,Canary,Cream tea,Carpaccio,Tool,Doughnut,,,,Lighting accessory,,,,Sunflower oil,,,Lifeguard,Grasshopper,National grandparents day,Ford ka,,,
Presidential palace,Mechanical fan,Cheetah,Clotted cream,Bushtit,Picnic basket,Watermelon,,,,Automotive tail & brake light,,,,Chrysler airflow,,,Spokesperson,California wild rose,Remembrance day,Ford popular,,,
Library,Ceiling fan,Lobster,Cupid,Tugboat,Bowling equipment,Cantaloupe,,,,Dart flight,,,,Cuckoo flower,,,Personal water craft,Slender willow,Ascension day,Ford mustang fr500,,,
Ice hotel,Clock,Hedgehog,Cockatiel,Grumman Aircraft Corporation,Boxing equipment,Sandwich,,,,Automotive side marker light,,,,Motion detector,,,True salamanders and newts,Pink evening primrose,First day of school,Boeing e-4,,,
Housekeeper,Calculator,Otter,Raincoat,Kei car,Violin,Tears,,,,Automotive parking light,,,,Woolly sunflower,,,Lungless salamander,Dwarf day lily,Holiday ornament,Boeing 377,,,
Control tower,Fax,Bull,Curry powder,Muscle car,Weapon,Sheep milk cheese,,,,Visual effect lighting,,,,Fried cauliflower,,,Grumman llv,Coconut bar,Birthday candle,Ford corsair,,,
Open-air museum,Box,Caterpillar,Trench coat,Carriage,Jug,Gouda cheese,,,,Automotive light bulb,,,,Large-flowered evening primrose,,,Grumman a-6 intruder,Hairy willowherb,Festival,Northrop f-5,,,
Cabin,Snowman,Butterfly,Academic dress,Motorcycle speedway,Exercise equipment,Miso soup,,,,Daylighting,,,,Kick energy,,,Spotted salamander,Tree poppy,Saint-jean-baptiste day,Northrop f-89 scorpion,,,
Musical theatre,Chopsticks,Antelope,Bolo tie,World rally championship,Chisel,Brazilian food,,,,Flight instruments,,,,Cape flower,,,Woodland salamander,Coconut custard,All saints' day,Ford fiesta,,,
Movie palace,Kite,Jellyfish,Wine bottle,Dragon boat,Bench,Red bean soup,,,,Sunrise at Lighthouse,,,,Desoto airflow,,,Red back salamander,Fragrant white water lily,All souls day,Boeing 247,,,
Commercial building,Beehive,Moths and butterflies,Hot hatch,Forklift truck,Tablet computer,Multigrain bread,,,,Lighthouse Cliffs,,,,Pink moccasin flower,,,Airman,Curry tree,Saint nicholas day,Acura tl,,,
Boutique hotel,Balloon,Goose,Bottled water,Bus stop,Waste container,Cheeseburger,,,,Twilight Forest Edge,,,,Beach moonflower,,,Northern Praying Mantis,Torch lily,Liberation day,Northrop yf-17,,,
Mortuary temple,Billboard,Mule,White breasted Nuthatch,Carbonated water,Electronic device,Port wine,,,,,,,,Cut flowers,,,Amanattō,Avalanche lily,Arbor day,Ford orion,,,
Malt house,Stairs,Swan,Red breasted Nuthatch,Carcharhiniformes,Axe,Apple pie,,,,,,,,Common sunflower,,,Manhole cover,Plant sap,Hot Air Balloon Festival,Ford transit,,,
Mound-building termites,Chair,Raccoon,Baileys irish cream,Business jet,Horizontal bar,Food coloring,,,,,,,,Sunflower seed,,,Manhole,California fawn lily,Floating Lantern Festival,Boeing 314,,,
Doghouse,Poster,Falcon,Cream liqueur,Ironclad warship,Bomb,Mulled wine,,,,,,,,Wallflower,,,Sandman,Yellow avalanche lily,Rainy Day Café,Ford rs200,,,
Parachuting,Cabinetry,Snail,Panties,Wheelbarrow,Parachute,Chocolate milk,,,,,,,,Energy gel,,,Manger,Tree stand,,Citroën cx,,,
Palace,Desk,Dragonfly,Boxing glove,Cardinal,Beaker,Wheat beer,,,,,,,,Flower Arranging,,,Ottoman cuisine,Eggplant salads and appetizers,,Ford escape hybrid,,,
Post office,Bronze sculpture,Marine mammal,Daihatsu materia,Card game,Camera,Pumpkin pie,,,,,,,,Cauliflower cheese,,,Tokwa’t baboy,Rain lily,,Citroën bx,,,
Observation tower,Pitcher,Sea lion,Honda that's,Health care,Racket,Cheddar cheese,,,,,,,,Flower girl basket,,,Lemang,Treeing tennessee brindle,,Pontiac grand prix,,,
Shot tower,Fountain,Parrot,Ranch dressing,Container ship,Chime,Drinking water,,,,,,,,Battery energy drink,,,California slender salamander,Treeing cur,,Ford explorer,,,
Shutter,Stapler,Sparrow,Hockey sock,Warship,Flowerpot,Potato salad,,,,,,,,Blanket flowers,,,Skate guard,Parlour maple,,Pontiac bonneville,,,
Shuttlecock,Wine rack,Turkey,Mince and tatties,Carpet,Lifejacket,Teacher,,,,,,,,Open Field with Wildflowers,,,Dutchman's pipe,Coconut candy,,Ford probe,,,
Hindu temple,Dice,Skunk,Chole bhature,Flying boat,Handgun,Palm wine,,,,,,,,,,,Shin guard,Prosecco,,Citroën c5,,,
Bodybuilding supplement,Couch,Shrimp,Ice cream cone,Shipwreck,Grinder,Cottage cheese,,,,,,,,,,,Nash statesman,Tree frog,,Ford capri,,,
Farmhouse,Whiteboard,Rays and skates,Cream soda,Gunboat,Corded phone,Instant coffee,,,,,,,,,,,Salamandra,Maple syrup,,Northrop yf-23,,,
Temple,Pencil sharpener,Crab,Salad dressing spread,Bicycle chain,Tennis racket,Andhra food,,,,,,,,,,,Aviation ordnanceman,Planter's punch,,Ford mainline,,,
Office chair,Door,Seahorse,Bow tie,Carousel,Ruler,Green winged Teal,,,,,,,,,,,Steelworker,Evergreen rose,,Ford super duty,,,
Hut,Eraser,Alpaca,Daihatsu mira gino,Dragon boat festival,Microphone,Local food,,,,,,,,,,,Bargirl,Orange lily,,Ford taurus x,,,
Tower running,Stop sign,Armadillo,Hatchet,Bicycle pedal,Band-aid,Buttermilk,,,,,,,,,,,Human mouth,Majestic tree hound,,Ford el falcon,,,
Garden buildings,Interior design,Lady bug,Patient,Vanessa atalanta,Flute,Milkshake,,,,,,,,,,,German spaniel,Scentless Plant Bugs,,Ford flex,,,
Museum,Vase,Reptile & Amphibian,Rugby shirt,Volkswagen jetta,Balance beam,Cornbread,,,,,,,,,,,Manitoba maple,Coconut jam,,Acura arx-01,,,
Newcastle brown ale,Wardrobe,Icelandic sheepdog,Yellow breasted Chat,Sidecar,Binoculars,Proteales,,,,,,,,,,,Marksman,Fernleaf lavender,,Boeing x-45,,,
Hutspot,Paper towel,Domestic short-haired cat,Bottle cap,Caryophyllales,Ipod,Blue winged Teal,,,,,,,,,,,Fire salamander,Franklin tree,,Northrop yb-35,,,
Space shuttle,Salt and pepper shakers,Gazelle,Wedding dress,Chili con carne,Accordion,Sliced bread,,,,,,,,,,,Curtiss c-46 commando,Guernsey lily,,Northrop yb-49,,,
Household silver,Nightstand,Ocicat,Impatiens,Wild carrot,Remote control,String cheese,,,,,,,,,,,Grumman f-11 tiger,Planter,,Ford fairmont,,,
Housewarming party,Pillow,Human beard,Mossy cup oak,Carabiner,Rugby ball,Green tea,,,,,,,,,,,Grumman e-1 tracer,Treeing feist,,Ford xl falcon,,,
Water tower,Bookcase,Bird-of-paradise,Egg cream,Tall ship,Maracas,Oregon grape,,,,,,,,,,,Siamang,Velvet plant,,Ford xk falcon,,,
Woodhouse's Toad,Door handle,Japanese beetle,Mugwort,Business card,Ac power plugs and socket-outlets,Beer pong,,,,,,,,,,,Grumman f9f panther,French lavender,,Ford xm falcon,,,
Theater curtain,Kettle,Crow-like bird,Public address system,Mascarpone,Player piano,Caerphilly cheese,,,,,,,,,,,Fairchild c-123 provider,Sensitive plant,,Ford xp falcon,,,
Boathouse,Sofa bed,Butterfly milkweed,Little black dress,Scarecrow,Pipe organ,Juicer,,,,,,,,,,,Baseball player,Rainbow rose,,Ford xr falcon,,,
Nonbuilding structure,Adhesive tape,Bobcat,Batting helmet,Northern Cardinal,Bass guitar,Potato pancake,,,,,,,,,,,Basketball player,Autograss,,Ford xw falcon,,,
Ancient roman architecture,Saucer,American eskimo dog,Cream cheese,Cruise ship,Torque wrench,Food storage,,,,,,,,,,,Military person,Smoketree,,Ford xy falcon,,,
Classical architecture,Heater,Shetland sheepdog,Cork hat,Caravel,Organist,Chicken fried steak,,,,,,,,,,,Chiropractor,Primrose,,Ford xa falcon,,,
Gothic architecture,Curtain,Eagle scout,Cream bun,Katsuobushi,Machine tool,Asian food,,,,,,,,,,,Factory worker,Wheatgrass,,Ford xb falcon,,,
Amphitheatre,Bed,Five-pin bowling,Cloche hat,Dodge caravan,Camera lens,Scrapple,,,,,,,,,,,Manicurist,Cucumber tree,,Ford xc falcon,,,
Slaughterhouse,Drinking straw,Blackbird,Lacrosse glove,Sud aviation caravelle,Disposable camera,Coffee filter,,,,,,,,,,,Actor,Maple taffy,,Ford durango,,,
Courthouse,Hair dryer,Triggerfish,Chiboust cream,Personal luxury car,Monitor,Coffee percolator,,,,,,,,,,,Manager,Egyptian lavender,,Ford gt,,,
Egyptian temple,Food processor,Rabbits and Hares,Daihatsu sonica,Scarlet witch,Hydraulic rescue tools,Protea,,,,,,,,,,,Hellboy,Varnish tree,,Citroën xm,,,
Building insulation,Refrigerator,Sheepdog trial,Daihatsu esse,Bushmeat,Brass instrument,Malaysian food,,,,,,,,,,,Compactor,Charoset,,Ford versailles,,,
Playhouse,Jacuzzi,Northrop f-20 tigershark,Daihatsu tanto,Vintage car,Instant camera,Cantonese food,,,,,,,,,,,German shorthaired pointer,Plant,,Boeing e-3 sentry,,,
Home theater system,Cocktail shaker,Great horned owl,Daihatsu taft,Classic car,Digital piano,Cajun food,,,,,,,,,,,German wirehaired pointer,Shoe tree,,Boeing c-97 stratofreighter,,,
Household paper product,Alarm clock,Great grey owl,Irish soft-coated wheaten terrier,Caribbean food,Hidden camera,Take-out food,,,,,,,,,,,Personal grooming,White mexican rose,,Boeing c-32,,,
