画面质量_通用增强,构图_画面组织,镜头感_视角类,光照类,细节_质感类,空间_景深_层次,氛围_情绪类,动势_视觉能量,干净度_背景控制,真实感_一致性控制,其他,摄影视角,光影效果,面相,人物姿态,眼神,人物动作,场景环境,天气
refined details,open composition,wide framing,luminous atmosphere,material definition,soft depth falloff,contemplative mood,organic flow,background restraint,accurate proportions,high visual appeal,,Volumetric Lighting,Cold and Indifferent,Arms Spread Wide,Dreamy Eyes,resting on a surface,loft interior,after rain
visually coherent,compact composition,close framing,controlled contrast,micro details,immersive depth,cinematic mood,smooth motion cues,soft background treatment,smooth visual logic,softly rendered,,Moonlight,Mysterious and Enigmatic,Hand on Chin,Suspicious Eyes,placed on a pedestal,modern lobby space,snowfall
balanced composition,dynamic composition,medium framing,delicate light falloff,nuanced texture,layered spatial structure,intimate mood,gentle motion,clear silhouette,consistent material response,smooth finish,,soft ambient light,,One Arm Raised,Glowing Eyes,placed on a stand,quiet hallway,windy conditions
professional finish,stable composition,cinematic perspective,rim lighting,layered details,clear foreground and background,restrained mood,dynamic tension,strong separation,grounded composition,delicate balance,,hard directional light,,Bowing,Innocent Eyes,being held,bright atrium,calm air
high fidelity,visual hierarchy,depth-aware composition,backlighting,subtle surface variation,depth-enhanced scene,peaceful ambiance,lively composition,subject emphasis,,expressive detail,,rim light outline,,Covering Face with Hands,Determined Eyes,being carried,small room interior,stormy clouds
clear focus,negative space,,front lighting,,,,,,,,,backlit silhouette,,Pointing,Pointing,partially submerged,spacious interior,sharp cast shadows
well-defined forms,well-structured scene,,side lighting,,,,,,,,,side lighting with contrast,,,,emerging from shadow,tiled interior,specular highlights
strong visual clarity,natural arrangement,,volumetric light,,,,,,,,,top-down lighting,,,,entering the frame,wooden floor interior,reflective light bounce
clean rendering,uncluttered frame,,atmospheric lighting,,,,,,,,,underlighting for drama,,,,exiting the frame,concrete floor interior,soft key light
intricate details,coherent framing,,glowing accents,,,,,,,,,diffused window light,,,,mid-stride,white cyclorama studio,soft fill light
,,,,,,,,,,,,overcast daylight,,,,mid-leap,softbox-lit studio space,strong key light
,,,,,,,,,,,,golden hour light,,,,mid-turn,backdrop studio setup,balanced key and fill
,,,,,,,,,,,,blue hour twilight,,,,mid-spin,indoor parking structure,low-key lighting
,,,,,,,,,,,,neon reflections,,,,mid-swing,stairwell interior,high-key lighting
,,,,,,,,,,,,volumetric light beams,,,,mid-flight,elevator lobby,soft wraparound light
,,,,,,,,,,,,light scattering in the air,,,,mid-drift,underground station interior,edge light accent
,,,,,,,,,,,,subtle shadows,,,,paused mid-gesture,tunnel interior,kicker light accent
,,,,,,,,,,,,candid snapshot feel,,,,caught in moment,library interior,practical lights visible
,,,,,,,,,,,,extreme close-up,,,,steady stance,laboratory interior,light from above
,,,,,,,,,,,,tight close-up,,,,balanced stance,clinic interior,light from below
,,,,,,,,,,,,three-quarter shot,,,,wide stance,office interior,light from the side
,,,,,,,,,,,,long shot,,,,narrow stance,minimal kitchen space,light from behind
,,,,,,,,,,,,wide shot,,,,upright posture,basement interior,soft gradient lighting
,,,,,,,,,,,,establishing shot,,,,relaxed posture,attic interior,even illumination
,,,,,,,,,,,,top-down view,,,,braced posture,sunlit interior,directional spotlight
,,,,,,,,,,,,worm's-eye view,,,,ready stance,dim interior,broad soft light
,,,,,,,,,,,,front view,,,,crouched low,industrial workshop,diffused skylight
,,,,,,,,,,,,three-quarter view,,,,kneeling,garage interior,cloud-filtered light
,,,,,,,,,,,,profile view,,,,sitting,showroom interior,streetlight illumination
,,,,,,,,,,,,rear view,,,,standing,museum interior,headlight illumination
,,,,,,,,,,,,static camera feel,,,,lying down,glass-walled room,window spill light
,,,,,,,,,,,,locked-off frame,,,,pivoting,open-plan interior,reflected light
,,,,,,,,,,,,handheld feel,,,,gliding,long narrow room,bounce light
,,,,,,,,,,,,smooth tracking feel,,,,sliding,high ceiling interior,bounce light
,,,,,,,,,,,,camera push-in feel,,,,rolling,exposed beams interior,glancing light
,,,,,,,,,,,,camera pull-back feel,,,,skidding,interior with shelves,soft shadows
,,,,,,,,,,,,gentle pan feel,,,,darting,interior with curtains,hard shadows
,,,,,,,,,,,,gentle tilt feel,,,,sprinting,interior with mirrors,subtle rim glow
,,,,,,,,,,,,slow drift feel,,,,walking,large pillars interior,strong rim separation
,,,,,,,,,,,,quick snap feel,,,,jogging,interior with skylight,halo of backlight
,,,,,,,,,,,,sharp center focus,,,,accelerating,open outdoor space,silhouette edge
,,,,,,,,,,,,fast shutter freeze,,,,decelerating,urban street corner,volumetric haze
,,,,,,,,,,,,motion frozen clarity,,,,coasting,residential area,dusty air
,,,,,,,,,,,,subtle shutter,,,,drifting,parking lot scene,specular sheen
,,,,,,,,,,,,soft bokeh highlights,,,,swerving,rooftop setting,controlled highlights
,,,,,,,,,,,,clean horizon,,,,braking hard,underpass environment,no blown highlights
,,,,,,,,,,,,stable horizon,,,,tilting upward,riverside path,soft reflections
,,,,,,,,,,,,slight dutch angle,,,,tilting downward,forest edge,sparkling micro-highlights
,,,,,,,,,,,,subject centered,,,,banking left,coastal area,soft window
,,,,,,,,,,,,tight headroom framing,,,,banking right,mountain road,soft skylight
,,,,,,,,,,,,generous headroom,,,,angled toward camera,desert plain,soft streetlight
,,,,,,,,,,,,clean leading room,,,,angled away,snowfield landscape,soft overhead lamp
,,,,,,,,,,,,strong leading room,,,,profile posture,marketplace scene,soft neon
,,,,,,,,,,,,camera at shoulder,,,,three-quarter turn,city plaza,soft headlights
,,,,,,,,,,,,camera at waist,,,,rear view posture,pedestrian walkway,soft sunlight
,,,,,,,,,,,,camera near ground,,,,front-facing posture,alleyway scene,soft diffused sky
,,,,,,,,,,,,close distance,,,,overhead view posture,suburban street,diffused window
,,,,,,,,,,,,mid distance,,,,low-angle pose,industrial yard,diffused skylight
,,,,,,,,,,,,far distance,,,,reaching upward,train platform,diffused streetlight
,,,,,,,,,,,,compressed distance,,,,reaching downward,bridge walkway,diffused overhead lamp
,,,,,,,,,,,,natural distance,,,,reaching forward,harbor front,diffused neon
,,,,,,,,,,,,foreground blur,,,,reaching back,pier setting,diffused headlights
,,,,,,,,,,,,background compression,,,,stretching,beach shoreline,diffused sunlight
,,,,,,,,,,,,subject tracking,,,,twisting torso,rocky coastline,directional window
,,,,,,,,,,,,follow-cam feel,,,,arching slightly,cliffside path,directional skylight
,,,,,,,,,,,,documentary framing,,,,leaning in wind,hilltop viewpoint,directional streetlight
,,,,,,,,,,,,catalog-style framing,,,,hovering above ground,countryside field,directional overhead lamp
,,,,,,,,,,,,minimal lens distortion,,,,touching down,farmland edge,directional neon
,,,,,,,,,,,,controlled distortion,,,,lifting off,meadow landscape,directional headlights
,,,,,,,,,,,,orthographic-like feel,,,,resting at angle,lakeside shore,directional sunlight
,,,,,,,,,,,,near-ortho framing,,,,resting flat,riverbank scene,directional diffused sky
,,,,,,,,,,,,close-up shallow depth,,,,propped up,canal-side path,hard window
,,,,,,,,,,,,close-up deep depth,,,,supported by base,park lawn setting,hard skylight
,,,,,,,,,,,,medium shot shallow depth,,,,half in shadow,botanical garden path,hard streetlight
,,,,,,,,,,,,medium shot deep depth,,,,half in light,arboretum edge,hard overhead lamp
,,,,,,,,,,,,long shot shallow depth,,,,silhouette movement,forest clearing,hard neon
,,,,,,,,,,,,long shot deep depth,,,,stillness tension,mountain pass,hard headlights
,,,,,,,,,,,,wide shot shallow depth,,,,dynamic balance,winding road scene,hard sunlight
,,,,,,,,,,,,wide shot deep depth,,,,off-balance moment,rain-soaked street,hard diffused sky
,,,,,,,,,,,,full-body shallow depth,,,,recovering balance,foggy hillside,gentle window
,,,,,,,,,,,,full-body deep depth,,,,about to move,open steppe landscape,gentle skylight
,,,,,,,,,,,,detail shot shallow depth,,,,just stopped,salt flat landscape,gentle streetlight
,,,,,,,,,,,,detail shot deep depth,,,,peak motion captured,dune field,gentle overhead lamp
,,,,,,,,,,,,low-angle focus,,,,start of motion,icy shoreline,gentle neon
,,,,,,,,,,,,high-angle focus,,,,end of motion,snowy street,gentle headlights
,,,,,,,,,,,,eye-level focus,,,,motion implied,wet asphalt road,gentle sunlight
,,,,,,,,,,,,top-down focus,,,,movement suggested,construction site,gentle diffused sky
,,,,,,,,,,,,three-quarter focus,,,,action frozen,stadium exterior,subtle window
,,,,,,,,,,,,profile framing,,,,diagonal body line,courtyard setting,subtle skylight
,,,,,,,,,,,,front framing,,,,strong contrapposto,campus walkway,subtle streetlight
,,,,,,,,,,,,locked-off camera,,,,subtle contrapposto,simple background,subtle overhead lamp
,,,,,,,,,,,,handheld camera,,,,arms extended,layered background,subtle neon
,,,,,,,,,,,,tracking camera,,,,arms folded,soft gradient backdrop,subtle headlights
,,,,,,,,,,,,push-in camera,,,,hands on surface,textured backdrop,subtle sunlight
,,,,,,,,,,,,pull-back camera,,,,hands behind back,atmospheric haze,subtle diffused sky
,,,,,,,,,,,,pan camera,,,,one foot raised,background bokeh,dramatic window
,,,,,,,,,,,,tilt camera,,,,both feet grounded,neutral backdrop,dramatic skylight
,,,,,,,,,,,,drift camera,,,,weight on one side,clean backdrop,dramatic streetlight
,,,,,,,,,,,,tight shallow depth,,,,weight centered,subtle vignette,dramatic overhead lamp
,,,,,,,,,,,,tight deep depth,,,,rotating gently,minimal gradient,dramatic neon
,,,,,,,,,,,,tight crisp focus,,,,oscillating,softly lit backdrop,dramatic headlights
,,,,,,,,,,,,tight soft focus,,,,hovering in place,out-of-focus bg,dramatic sunlight
,,,,,,,,,,,,loose shallow depth,,,,spinning slowly,background understated,dramatic diffused sky
,,,,,,,,,,,,loose deep depth,,,,spinning rapidly,background reduced,side-lit soft shadows
,,,,,,,,,,,,loose crisp focus,,,,circling motion,tone-on-tone bg,side-lit strong contrast
,,,,,,,,,,,,loose soft focus,,,,falling through air,light-to-dark bg,side-lit clean edge
,,,,,,,,,,,,centered shallow depth,,,,rising upward,dark-to-light bg,side-lit subtle rim
,,,,,,,,,,,,centered deep depth,,,,descending,subtle texture wall,backlit volumetric beams
,,,,,,,,,,,,centered crisp focus,,,,pulled backward,paper-like texture,backlit hazy glow
,,,,,,,,,,,,centered soft focus,,,,pushed forward,fabric texture,backlit sharp silhouette
,,,,,,,,,,,,off-center shallow depth,,,,held at chest,concrete texture,backlit rim outline
,,,,,,,,,,,,off-center deep depth,,,,held overhead,misty background layer,top light soft falloff
,,,,,,,,,,,,off-center crisp focus,,,,carried under arm,soft fog backdrop,top light strong falloff
,,,,,,,,,,,,off-center soft focus,,,,carried on shoulder,light scatter background,top light clean highlights
,,,,,,,,,,,,cinematic shallow depth,,,,placed carefully,minimal pattern,top light deep shadows
,,,,,,,,,,,,cinematic deep depth,,,,placed casually,low-detail background,soft ambient light
,,,,,,,,,,,,cinematic crisp focus,,,,balanced on edge,background geometry,soft ambient light
,,,,,,,,,,,,cinematic soft focus,,,,balanced on point,empty space background,soft ambient light
,,,,,,,,,,,,candid shallow depth,,,,partially off-frame,studio sweep background,soft ambient light
,,,,,,,,,,,,candid deep depth,,,,cropped at edge,floating background elements,midday sun
,,,,,,,,,,,,candid crisp focus,,,,framed by motion,layered depth planes,late night atmosphere
,,,,,,,,,,,,candid soft focus,,,,slightly rotating,clean background separation,twilight haze
,,,,,,,,,,,,wide establishing shot,,,,slightly tilting,quiet concrete interior,thin cloud cover
,,,,,,,,,,,,wide shot,,,,slightly leaning,quiet brick interior,broken cloud cover
,,,,,,,,,,,,wide medium shot,,,,slightly turning,quiet glass interior,dramatic cloud cover
,,,,,,,,,,,,telephoto medium shot,,,,gently rotating,quiet metal interior,low clouds
,,,,,,,,,,,,telephoto long shot,,,,gently tilting,quiet wood interior,high clouds
,,,,,,,,,,,,telephoto full-body,,,,gently leaning,quiet stone interior,misty morning
,,,,,,,,,,,,focus on edges,,,,gently turning,quiet tile interior,foggy evening
,,,,,,,,,,,,focus on key features,,,,smoothly rotating,quiet plaster interior,light drizzle
,,,,,,,,,,,,focus on surface details,,,,smoothly tilting,busy concrete interior,steady rain
,,,,,,,,,,,,camera above subject,,,,smoothly leaning,busy brick interior,rain showers
,,,,,,,,,,,,camera below subject,,,,smoothly turning,busy glass interior,fresh snow
,,,,,,,,,,,,camera at eye level,,,,sharply rotating,busy metal interior,blowing snow
,,,,,,,,,,,,camera near ground,,,,sharply tilting,busy wood interior,melting snow
,,,,,,,,,,,,camera at shoulder,,,,sharply leaning,busy stone interior,icy conditions
,,,,,,,,,,,,clear headroom,,,,,busy tile interior,frosty air
,,,,,,,,,,,,clean leading room,,,,,busy plaster interior,humid air
,,,,,,,,,,,,balanced margins,,,,,clean concrete interior,dry air
,,,,,,,,,,,,intentional crop,,,,,clean brick interior,heat haze
,,,,,,,,,,,,safe framing,,,,,clean glass interior,cold air
,,,,,,,,,,,,,,,,,clean metal interior,warm air
,,,,,,,,,,,,,,,,,clean wood interior,wind gusts
,,,,,,,,,,,,,,,,,clean stone interior,gentle breeze
,,,,,,,,,,,,,,,,,clean tile interior,still air
,,,,,,,,,,,,,,,,,clean plaster interior,dusty wind
,,,,,,,,,,,,,,,,,minimal concrete interior,sand wind
,,,,,,,,,,,,,,,,,minimal brick interior,post-storm
,,,,,,,,,,,,,,,,,minimal glass interior,before storm
,,,,,,,,,,,,,,,,,minimal metal interior,storm front
,,,,,,,,,,,,,,,,,minimal wood interior,wet pavement
,,,,,,,,,,,,,,,,,minimal stone interior,puddles on ground
,,,,,,,,,,,,,,,,,minimal tile interior,water droplets
,,,,,,,,,,,,,,,,,minimal plaster interior,hazy daylight
,,,,,,,,,,,,,,,,,spacious concrete interior,clear winter
,,,,,,,,,,,,,,,,,spacious brick interior,soft summer
,,,,,,,,,,,,,,,,,spacious glass interior,moonlit night
,,,,,,,,,,,,,,,,,spacious metal interior,cloudy night
,,,,,,,,,,,,,,,,,spacious wood interior,starless night
,,,,,,,,,,,,,,,,,spacious stone interior,bright night
,,,,,,,,,,,,,,,,,spacious tile interior,early morning
,,,,,,,,,,,,,,,,,spacious plaster interior,mid-morning
,,,,,,,,,,,,,,,,,narrow concrete interior,midday
,,,,,,,,,,,,,,,,,narrow brick interior,late afternoon
,,,,,,,,,,,,,,,,,narrow glass interior,evening
,,,,,,,,,,,,,,,,,narrow metal interior,late night
,,,,,,,,,,,,,,,,,narrow wood interior,pre-dawn
,,,,,,,,,,,,,,,,,narrow stone interior,clear conditions
,,,,,,,,,,,,,,,,,narrow tile interior,foggy conditions
,,,,,,,,,,,,,,,,,narrow plaster interior,misty conditions
,,,,,,,,,,,,,,,,,bright concrete interior,snowy conditions
,,,,,,,,,,,,,,,,,bright brick interior,stormy conditions
,,,,,,,,,,,,,,,,,bright glass interior,rainy conditions
,,,,,,,,,,,,,,,,,bright metal interior,drizzly conditions
,,,,,,,,,,,,,,,,,bright wood interior,clear sky wet ground
,,,,,,,,,,,,,,,,,bright stone interior,clear sky puddles
,,,,,,,,,,,,,,,,,bright tile interior,clear sky haze
,,,,,,,,,,,,,,,,,bright plaster interior,clear sky crisp air
,,,,,,,,,,,,,,,,,dim concrete interior,clear sky humid air
,,,,,,,,,,,,,,,,,dim brick interior,clear sky low visibility
,,,,,,,,,,,,,,,,,dim glass interior,clear sky high visibility
,,,,,,,,,,,,,,,,,dim metal interior,overcast sky wet ground
,,,,,,,,,,,,,,,,,dim wood interior,overcast sky puddles
,,,,,,,,,,,,,,,,,dim stone interior,overcast sky haze
,,,,,,,,,,,,,,,,,dim tile interior,overcast sky crisp air
,,,,,,,,,,,,,,,,,dim plaster interior,overcast sky humid air
,,,,,,,,,,,,,,,,,sunlit concrete interior,overcast sky low visibility
,,,,,,,,,,,,,,,,,sunlit brick interior,overcast sky high visibility
,,,,,,,,,,,,,,,,,sunlit glass interior,light rain wet ground
,,,,,,,,,,,,,,,,,sunlit metal interior,light rain puddles
,,,,,,,,,,,,,,,,,sunlit wood interior,light rain haze
,,,,,,,,,,,,,,,,,sunlit stone interior,light rain crisp air
,,,,,,,,,,,,,,,,,sunlit tile interior,light rain humid air
,,,,,,,,,,,,,,,,,sunlit plaster interior,light rain low visibility
,,,,,,,,,,,,,,,,,shadowy concrete interior,heavy rain wet ground
,,,,,,,,,,,,,,,,,shadowy brick interior,heavy rain puddles
,,,,,,,,,,,,,,,,,shadowy glass interior,heavy rain haze
,,,,,,,,,,,,,,,,,shadowy metal interior,heavy rain crisp air
,,,,,,,,,,,,,,,,,shadowy wood interior,heavy rain humid air
,,,,,,,,,,,,,,,,,shadowy stone interior,heavy rain low visibility
,,,,,,,,,,,,,,,,,shadowy tile interior,heavy rain high visibility
,,,,,,,,,,,,,,,,,shadowy plaster interior,fog wet ground
,,,,,,,,,,,,,,,,,minimal interior,fog puddles
,,,,,,,,,,,,,,,,,minimal space,fog haze
,,,,,,,,,,,,,,,,,minimal room,fog crisp air
,,,,,,,,,,,,,,,,,minimal hallway,fog humid air
,,,,,,,,,,,,,,,,,minimal corridor,fog low visibility
,,,,,,,,,,,,,,,,,minimal lobby,fog high visibility
,,,,,,,,,,,,,,,,,minimal atrium,mist wet ground
,,,,,,,,,,,,,,,,,minimal workshop,mist puddles
,,,,,,,,,,,,,,,,,minimal studio,mist haze
,,,,,,,,,,,,,,,,,industrial space,mist crisp air
,,,,,,,,,,,,,,,,,industrial room,mist humid air
,,,,,,,,,,,,,,,,,industrial hallway,mist low visibility
,,,,,,,,,,,,,,,,,industrial corridor,mist high visibility
,,,,,,,,,,,,,,,,,industrial lobby,snow wet ground
,,,,,,,,,,,,,,,,,industrial atrium,snow puddles
,,,,,,,,,,,,,,,,,industrial workshop,snow haze
,,,,,,,,,,,,,,,,,industrial studio,snow crisp air
,,,,,,,,,,,,,,,,,modern interior,snow humid air
,,,,,,,,,,,,,,,,,modern space,snow low visibility
,,,,,,,,,,,,,,,,,modern room,snow high visibility
,,,,,,,,,,,,,,,,,modern hallway,wind wet ground
,,,,,,,,,,,,,,,,,modern corridor,wind puddles
,,,,,,,,,,,,,,,,,modern lobby,wind haze
,,,,,,,,,,,,,,,,,modern atrium,wind crisp air
,,,,,,,,,,,,,,,,,,wind humid air
,,,,,,,,,,,,,,,,,,wind low visibility
,,,,,,,,,,,,,,,,,,wind high visibility
,,,,,,,,,,,,,,,,,,storm clouds wet ground
,,,,,,,,,,,,,,,,,,storm clouds puddles
,,,,,,,,,,,,,,,,,,storm clouds haze
,,,,,,,,,,,,,,,,,,storm clouds crisp air
,,,,,,,,,,,,,,,,,,storm clouds humid air
,,,,,,,,,,,,,,,,,,drizzle wet ground
,,,,,,,,,,,,,,,,,,drizzle puddles
,,,,,,,,,,,,,,,,,,drizzle haze
,,,,,,,,,,,,,,,,,,drizzle crisp air
,,,,,,,,,,,,,,,,,,drizzle humid air
,,,,,,,,,,,,,,,,,,drizzle low visibility
,,,,,,,,,,,,,,,,,,drizzle high visibility
,,,,,,,,,,,,,,,,,,after rainfall
,,,,,,,,,,,,,,,,,,after snowfall
,,,,,,,,,,,,,,,,,,after storm
,,,,,,,,,,,,,,,,,,after shower
,,,,,,,,,,,,,,,,,,after wind calms
,,,,,,,,,,,,,,,,,,before sunrise
,,,,,,,,,,,,,,,,,,before sunset
,,,,,,,,,,,,,,,,,,before storm hits
,,,,,,,,,,,,,,,,,,before nightfall
